Municipio ;Departamento;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Medellin;Antioquia;34442.53336;36924.72013;40880.87386;43042.33712;45551.40461;49047.76144;51394.01171;55082.30118;59434.96621;57154.22767;66893.73873;76890.36396
Abejorral;Antioquia;127.1750111;149.2971989;148.8043709;159.8449081;172.9501677;202.3116906;234.8331221;231.1720555;244.4972527;242.2274526;335.4732792;450.5579472
Abriaqui;Antioquia;17.54916768;17.27745241;17.6466856;18.79007212;18.1970299;20.17169688;21.67460926;28.56266243;31.81728341;32.92229063;38.19300856;58.306037
Alejandria;Antioquia;89.98267763;34.58124652;37.7367705;39.95224385;42.63932663;46.56046634;51.27327183;52.3343389;56.8559826;54.95636581;69.41186204;80.57869464
Amaga;Antioquia;216.9485236;262.57421;270.4846073;315.7808552;333.0420723;358.0895408;468.5487729;492.0987037;535.8630443;531.8064472;647.013493;799.5803559
Amalfi;Antioquia;444.9915244;487.6893894;501.8669846;532.6753797;551.3073463;663.8822804;667.6439435;742.7540646;797.0222981;873.5532352;982.0245319;1126.427836
Andes;Antioquia;349.4210986;352.8558877;417.647075;519.2337883;693.2197311;659.229583;677.3810961;680.2449178;678.1487026;654.588563;654.1234578;810.292476
Angelopolis;Antioquia;45.36683012;48.2449234;55.938218;62.04864464;62.08712689;67.22802434;81.18693924;82.18689694;83.12596893;71.80162603;92.28641963;117.5327344
Angostura;Antioquia;263.862945;194.8880784;182.8235442;158.4548292;116.3671227;123.1807671;131.4539568;133.490576;136.1180321;132.851888;156.9714111;187.7078318
Anori;Antioquia;82.35975755;86.97988065;104.6847932;140.4325779;154.1294219;199.5680922;143.4051658;159.4354398;163.634906;172.6960654;235.3398398;367.6849573
Antioquia;Antioquia;179.7407986;220.0902147;247.355143;283.2503784;279.3503633;268.0056896;301.7679059;318.9318519;406.0853151;311.5744265;378.1882447;472.6760429
Anza;Antioquia;62.87567526;64.63596546;57.31638833;60.91908417;61.63019883;69.64103377;92.17973694;109.7446718;110.3414988;105.3182545;138.3727789;163.1240069
Apartado;Antioquia;1401.442178;1365.880455;1490.382372;1488.974093;1846.381256;1972.44665;2204.389476;2344.824122;2462.645913;2486.993558;2981.908598;3461.128093
Arboletes;Antioquia;187.0051413;223.7814289;301.1997264;241.3877198;244.8801228;258.22751;276.6487012;286.070083;285.4939892;276.2833615;327.6474296;442.542966
Argelia;Antioquia;46.17768293;51.9254495;51.19747316;55.56927876;54.30802889;59.66208007;72.70460599;74.05459421;69.74412243;68.56184266;91.91600547;113.7446358
Armenia;Antioquia;59.04378273;40.01149048;42.88227634;48.98103737;51.97825486;55.43384409;51.38858643;51.50633829;56.06125967;51.93309069;65.15663023;81.20249823
Barbosa;Antioquia;559.7836419;614.7542679;654.1685679;744.5527904;785.5532587;830.522301;830.2670994;957.6556535;1027.995794;1039.274056;1251.831477;1536.947964
Belmira;Antioquia;35.19368276;44.40797223;50.62864959;61.08692979;58.13589363;65.26368832;68.86955115;69.53978951;81.44985053;80.92118487;94.35899882;113.5644158
Bello;Antioquia;3174.436925;3665.53714;3628.154285;4102.76822;4742.143848;4844.53817;5253.307571;5667.458843;6211.977283;5817.074839;6882.69373;8071.38357
Betania;Antioquia;126.6120805;104.740335;131.5740189;134.6965545;123.4412671;148.8349622;159.700061;148.3613477;167.3661862;167.7191632;245.2331263;283.4312063
Betulia;Antioquia;170.0806906;139.1838535;172.8029053;199.5778462;171.9873688;194.5830569;220.2975065;224.1620104;231.8447577;240.2371831;308.9883582;360.9353896
Ciudad Bolivar;Antioquia;261.0473084;244.584913;296.0182033;317.543231;295.209406;314.7042884;336.9446906;335.7934344;354.3905297;352.9376312;429.9070085;576.7580722
Briceno;Antioquia;50.46503004;55.40609719;50.82828163;57.15525169;58.53945788;59.09851565;72.59976578;80.1063084;73.19379106;91.63811829;118.972623;135.7905002
Buritica;Antioquia;117.247383;59.26807788;99.41497394;92.69234099;68.36340229;96.85741122;85.01940256;85.88857693;86.98953862;403.1624349;943.9832288;1764.18736
Caceres;Antioquia;236.7780405;294.5371151;304.7714047;314.4448432;321.5670259;426.4438742;383.7686276;415.7818566;412.9998881;396.6976458;434.3094455;445.4582746
Caicedo;Antioquia;48.85307693;51.93139067;58.11334282;64.19973306;71.12871424;79.68771036;105.2883028;103.3622334;99.00101464;99.28525766;127.0165256;159.3781839
Caldas;Antioquia;678.5301049;752.1709563;772.1684179;865.0960663;890.0379788;968.8899316;1008.417713;1088.968832;1183.938526;1138.737079;1341.958728;1656.480829
Campamento;Antioquia;40.34988764;48.59793877;52.20238246;59.22814802;56.13310114;59.73989273;64.77896282;70.59492687;74.54130375;68.95300308;94.34515379;116.4689822
Canasgordas;Antioquia;244.781178;383.0308141;140.550647;119.6869632;110.2370797;144.8431958;148.3610304;148.6006183;168.4373733;163.7672391;220.5390425;272.0382927
Caracoli;Antioquia;35.7958325;42.62022795;41.54220531;46.68635399;48.189711;53.99071012;46.76665682;49.6582189;53.26186212;57.62173587;63.74255457;77.74280643
Caramanta;Antioquia;77.45367689;52.95325234;69.3187264;67.13988771;68.22916919;61.21708233;61.37535085;64.90181757;64.22171891;57.19468154;80.17139641;104.5501362
Carepa;Antioquia;738.1873156;821.6316949;871.3438185;793.1788517;1019.723784;1149.389129;1005.387572;1072.432791;1148.703929;1205.559155;1456.050307;1689.830035
Carmen De Viboral;Antioquia;296.2866706;346.7191866;408.676665;480.4013873;466.9369926;560.4816036;547.8856787;592.8187612;749.1633807;724.9184314;825.8031353;1032.442017
Carolina;Antioquia;27.12957955;27.83497048;31.39590133;34.05176359;34.5666731;37.7195295;39.47427139;44.26799613;44.22065101;50.30976888;71.46846758;78.72553752
Caucasia;Antioquia;665.4207749;916.346116;1100.939667;950.4636503;840.5727462;876.2257664;987.7024323;1179.323885;1352.693469;1704.607185;2302.458138;2688.805996
Chigorodo;Antioquia;525.3088301;618.4669973;571.9720149;639.0099823;727.4095751;815.3138905;820.6206765;880.2669362;887.7113053;932.2090461;1177.101124;1594.441941
Cisneros;Antioquia;90.97213062;88.41854073;95.0612068;102.2722869;97.0417463;97.66382861;99.19434135;129.1855793;120.4598907;109.3575541;134.9124859;170.3318212
Cocorna;Antioquia;148.9944558;150.2411463;152.645074;150.1190497;127.1538741;140.7707952;142.011949;150.9370151;157.9354732;150.0552533;183.5137677;252.3368517
Concepcion;Antioquia;46.91757932;41.45758666;48.48128314;51.16315688;54.6217577;54.8783617;52.39298188;55.41545864;57.79788692;53.91307997;57.37610635;77.02580384
Concordia;Antioquia;254.5299347;164.229035;214.8830642;223.9519721;215.3233265;224.5246904;274.4236677;287.8446029;306.2302057;310.0899769;380.2571852;528.0283087
Copacabana;Antioquia;755.2107806;887.2480842;880.3142315;970.3066026;1051.619942;1141.393576;1111.764806;1235.101036;1380.022969;1370.686979;1722.776985;2071.201822
Dabeiba;Antioquia;134.5515475;160.9364444;186.5407766;216.5898961;236.3218639;225.0760115;240.5815017;248.8023493;298.4264688;266.0712385;349.6723021;446.3217672
Donmatias;Antioquia;224.3514119;203.8675864;263.7559042;299.9604626;306.9615438;357.7370947;386.5823313;406.6559358;431.3379217;476.0104821;431.0767165;583.9602806
Ebejico;Antioquia;99.45777397;98.14162214;104.3134531;112.8944692;105.975508;154.2224811;200.6610073;216.3451806;238.7260551;206.0243679;285.2172027;376.2941317
El Bagre;Antioquia;522.319756;696.9944667;788.7411738;689.4294681;822.5309113;1072.309493;887.8685407;848.9115983;784.2437557;946.8231445;1195.783202;1245.097292
Entrerrios;Antioquia;92.11222002;115.960025;128.467817;145.9906626;284.8729278;312.0342059;328.220976;358.3868725;398.4318725;402.3809628;419.8378843;539.3924336
Envigado;Antioquia;4120.272443;4693.86224;5528.503009;6083.854017;7021.70513;8624.089518;8737.524356;8983.044416;9229.16502;8493.729452;10012.03858;10926.31815
Fredonia;Antioquia;218.9046417;228.9701633;254.8711351;254.4250576;275.7401949;279.157131;311.4394308;350.584605;366.7911817;371.576294;427.979258;575.3447953
Frontino;Antioquia;133.5228849;165.7687961;163.9328501;172.3294318;164.8012051;175.0854473;176.7260238;193.7049805;218.9612761;282.906155;273.7330109;311.0249321
Giraldo;Antioquia;26.1834918;30.5578517;31.87326808;35.40991163;36.82505443;41.93453309;49.63039713;54.03836285;57.90150215;59.32491038;68.4272474;75.55607202
Girardota;Antioquia;695.3584634;791.7685891;915.2151251;1386.786771;1594.90345;1872.548212;1898.407231;2026.785104;2284.77824;2483.930609;3018.905836;3450.155058
Gomez Plata;Antioquia;197.7243598;215.5790524;223.5220856;212.0723358;233.2483576;272.4418285;286.7229764;319.7420147;350.0830732;371.7491968;431.8153476;451.8463109
Granada;Antioquia;52.02328824;56.69986255;60.58254308;64.7388429;66.83002065;70.98281837;72.96680052;80.50621719;92.07527225;89.70301205;104.1783029;129.1173663
Guadalupe;Antioquia;56.74270097;47.30538277;51.17636774;51.43322265;49.75084061;52.25114864;57.08181618;63.02483634;68.37496533;59.37436852;78.18727753;96.67663778
Guarne;Antioquia;540.9139696;561.6446951;598.3950885;994.0298675;1027.54288;1210.612914;1227.803306;1342.23078;1446.838604;1250.541211;1478.070131;1781.063052
Guatape;Antioquia;176.4250126;184.0148129;192.0528246;221.1297515;227.6786878;295.8926859;311.3979044;338.4330252;373.0674976;387.8102004;444.2320634;571.203933
Heliconia;Antioquia;40.06422743;48.99238883;53.04840194;60.33469763;63.93242303;51.91784866;61.13407707;56.22377081;58.05997229;140.1619532;73.23598763;92.90079665
Hispania;Antioquia;39.05283494;43.9656582;51.22023898;66.30795243;101.6804467;60.44747328;61.92296896;65.19842962;75.14930345;72.96037385;84.69285665;111.7639292
itagui;Antioquia;4749.03742;4988.620446;5046.078925;5394.809323;6364.6515;7140.322132;7229.177026;7573.125022;8227.924207;7589.578026;9330.840216;10856.03784
ituango;Antioquia;139.5515322;182.6509151;179.2278225;193.2141226;190.1583476;209.4840278;223.3620202;234.5028376;250.9147027;235.3893447;292.8735758;362.9126481
